"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 16:59:02 IST 2024","Thu Nov 28 16:59:19 IST 2024","17138","","Start Transaction","","","","Perform Start RouteCard Transaction by creating wafers not configured for Numbering rule.",""
"failed","Thu Nov 28 16:51:48 IST 2024","Thu Nov 28 16:51:56 IST 2024","8467","","Associate Transaction","","","","Verify whether quantity is added to the parent route qty.",""
"passed","Thu Nov 28 16:56:30 IST 2024","Thu Nov 28 16:56:34 IST 2024","4375","","Component Remove Transaction.","","","","Component Remove from Active Route Card.Removal Qty Less than to Issued Qty With issue difference reason.",""
"passed","Thu Nov 28 16:53:06 IST 2024","Thu Nov 28 16:53:08 IST 2024","1321","","Data Collection Transaction.","","","","Run Data Collection Transaction for routecards having no data collection configured.",""
"passed","Thu Nov 28 17:00:35 IST 2024","Thu Nov 28 17:00:36 IST 2024","1211","","Start Transaction","","","","Perform Start RouteCard Transaction sucessfully by entering invalid qty.",""
"passed","Thu Nov 28 16:54:49 IST 2024","Thu Nov 28 16:54:51 IST 2024","1919","","Rework Operation","","","","Run Rework Transaction for an invalid route.",""
"passed","Thu Nov 28 16:54:28 IST 2024","Thu Nov 28 16:54:30 IST 2024","2036","","Release Route Card Transaction.","","","","Run Release Transaction for invalid RouteCards.",""
"passed","Thu Nov 28 16:52:17 IST 2024","Thu Nov 28 16:52:20 IST 2024","3006","","Combine Qty Transaction","","","","Run Combine Qty Transaction without selecting the checkbox.",""
"passed","Thu Nov 28 17:00:17 IST 2024","Thu Nov 28 17:00:35 IST 2024","17853","","Start Transaction","","","","Perform Start RouteCard Transaction sucessfully by entering inactive process flow.",""
"passed","Thu Nov 28 16:51:47 IST 2024","Thu Nov 28 16:51:51 IST 2024","4044","","Close Route Card Transaction","","","","Run Close Transaction for close routecards,",""
